SKILL,icon,type,isCombatSkill,,,,,,,,,,,
Agility,https://oldschool.runescape.wiki/images/8/86/Agility_icon.png?22e10,utility,FALSE,,,,,,,,,,,
,,,,,,,,,,,,,,
CATEGORIES,,,,,,,,,,,,,,
Courses,Rooftop courses,Other,,,,,,,,,,,,
,,,,,,,,,,,,,,
EXP MULTIPLIERS,name,multiplier,,,,,,,,,,,,
,,,,,,,,,,,,,,
INPUT MULTIPLIERS,name,multiplier,,,,,,,,,,,,
,,,,,,,,,,,,,,
OUTPUT MULTIPLIERS,name,multiplier,,,,,,,,,,,,
,,,,,,,,,,,,,,
ACTIONS,name,subtitle,category,exp,level,icon,inputs,outputs,areas,exp multipliers,input multipliers,output multipliers,exp actions,tooltip
0,Basalt rock ,Lighthouse,Shortcuts,2,1,https://oldschool.runescape.wiki/images/9/90/Agility_area_jump.png?5eda0,,,Fremennik,,,,1,
1,Releasing toy mice,,Other,3,1,https://oldschool.runescape.wiki/images/d/d6/Toy_mouse.png?6579a,,,All,,,,1,
2,Stepping stone ,Lumbridge swamp caves,Shortcuts,3,1,https://oldschool.runescape.wiki/images/9/90/Agility_area_jump.png?5eda0,,,Misthalin,,,,1,
3,Bridge ,Nature spirit grotto,Shortcuts,15,1,https://oldschool.runescape.wiki/images/9/90/Agility_area_jump.png?5eda0,,,Morytania,,,,1,
4,Gnome Stronghold course,,Courses,86.5,1,https://oldschool.runescape.wiki/images/d/d1/Swamp_toad_%28item%29.png?3577a,,,Kandarin,,,,8,
5,Crumbling wall ,Falador,Shortcuts,0.5,5,https://oldschool.runescape.wiki/images/8/81/Agility_shortcut_climb.png?deb2b,,,Asgarnia,,,,1,
6,Rocks ,Corsair Cove,Shortcuts,1,10,https://oldschool.runescape.wiki/images/8/81/Agility_shortcut_climb.png?deb2b,,,Kandarin,,,,1,
7,Ropeswing ,Moss giant island,Shortcuts,3,10,https://oldschool.runescape.wiki/images/9/90/Agility_area_jump.png?5eda0,,,Karamja,,,,1,
8,Draynor Village rooftops,,Rooftop courses,120,10,https://oldschool.runescape.wiki/images/9/9b/Mark_of_grace.png?bfd42,,0.14 Mark of grace,Misthalin,,,,7,
9,Stepping stones ,Brimhaven dungeon,Shortcuts,3,12,https://oldschool.runescape.wiki/images/9/90/Agility_area_jump.png?5eda0,,,Karamja,,,,1,
10,Pillar jump ,Corsair Cove dungeon,Shortcuts,2,15,https://oldschool.runescape.wiki/images/7/70/Agility_shortcut_jump.png?deb2b,,,Kandarin,,,,1,
11,Monkey bars ,Edgeville dungeon,Shortcuts,20,15,https://oldschool.runescape.wiki/images/9/90/Agility_area_jump.png?5eda0,,,Wilderness,,,,1,
12,Log balance ,Coal trucks,Shortcuts,8.5,20,https://oldschool.runescape.wiki/images/9/9c/Agility_shortcut_balance.png?deb2b,,,Kandarin,,,,1,
13,Al Kharid rooftops,,Rooftop courses,180,20,https://oldschool.runescape.wiki/images/9/9b/Mark_of_grace.png?bfd42,,0.14 Mark of grace,Desert,,,,8,
14,Pipe squeeze ,Brimhaven dungeon,Shortcuts,8.5,22,https://oldschool.runescape.wiki/images/b/b6/Agility_area_contortion.png?5eda0,,,Karamja,,,,1,
15,Rock climb ,Eagle's Peak,Shortcuts,1,25,https://oldschool.runescape.wiki/images/8/81/Agility_shortcut_climb.png?deb2b,,,Kandarin,,,,1,
16,Werewolf Skullball course,,Courses,750,25,https://oldschool.runescape.wiki/images/d/de/Skull_%28item%29.png?22c69,,,Morytania,,,,1,
18,Rocks ,Corsair Cove resource area,Shortcuts,2,30,https://oldschool.runescape.wiki/images/8/81/Agility_shortcut_climb.png?deb2b,,,Kandarin,,,,1,
19,Varrock rooftops,,Rooftop courses,238,30,https://oldschool.runescape.wiki/images/9/9b/Mark_of_grace.png?bfd42,,0.24 Mark of grace,Misthalin,,,,9,
20,Penguin course,,Courses,540,30,https://oldschool.runescape.wiki/images/e/e3/Clockwork_suit.png?00d37,,,Fremennik,,,,5,
21,Agility Pyramid,,Courses,1030,30,https://oldschool.runescape.wiki/images/b/b9/Pyramid_top.png?7ea41,,,Desert,,,,26,
22,Stepping stone ,Draynor manor,Shortcuts,3,31,https://oldschool.runescape.wiki/images/9/90/Agility_area_jump.png?5eda0,,,Misthalin,,,,1,
23,Rock grapple ,Catherby,Shortcuts,15,32,https://oldschool.runescape.wiki/images/8/81/Agility_shortcut_climb.png?deb2b,,,Kandarin,,,,1,
24,Log balance ,Ardougne,Shortcuts,4,33,https://oldschool.runescape.wiki/images/9/9c/Agility_shortcut_balance.png?deb2b,,,Kandarin,,,,1,
25,Pipe squeeze ,Brimhaven dungeon,Shortcuts,10,34,https://oldschool.runescape.wiki/images/b/b6/Agility_area_contortion.png?5eda0,,,Karamja,,,,1,
26,Barbarian Outpost course,,Courses,153.3,35,https://oldschool.runescape.wiki/images/5/55/Steel_battleaxe.png?959b8,,,Kandarin,,,,8,
27,Tree grapple ,Water obelisk isle,Shortcuts,15,36,https://oldschool.runescape.wiki/images/8/81/Agility_shortcut_climb.png?deb2b,,,Kandarin,,,,1,
28,Balancing ledge ,Yanille dungeon,Shortcuts,22,40,https://oldschool.runescape.wiki/images/9/9c/Agility_shortcut_balance.png?deb2b,,,Kandarin,,,,1,
29,Canifis rooftops,,Rooftop courses,240,40,https://oldschool.runescape.wiki/images/9/9b/Mark_of_grace.png?bfd42,,0.2 Mark of grace,Morytania,,,,8,
30,Narrow walkway ,Cosmic altar,Shortcuts,10,46,https://oldschool.runescape.wiki/images/a/aa/Agility_shortcut_contortion.png?deb2b,,,Misthalin,,,,1,
31,Rocks ,Trollheim,Shortcuts,8,47,https://oldschool.runescape.wiki/images/8/81/Agility_shortcut_climb.png?deb2b,,,Asgarnia,,,,1,
32,Ape Atoll course,,Courses,580,48,https://oldschool.runescape.wiki/images/a/a7/Monkey_greegree.png?36191,,,Kandarin,,,,7,
