SKILL,icon,type,isCombatSkill,,,,,,,,,,,
Cooking,https://oldschool.runescape.wiki/images/d/dc/Cooking_icon.png?a0156,processing,FALSE,,,,,,,,,,,
,,,,,,,,,,,,,,
CATEGORIES,,,,,,,,,,,,,,
Meat/Fish,Gnome cooking,Baking,Vegetables,Brewing,Other,,,,,,,,,
,,,,,,,,,,,,,,
EXP MULTIPLIERS,name,multiplier,,,,,,,,,,,,
,,,,,,,,,,,,,,
INPUT MULTIPLIERS,name,multiplier,,,,,,,,,,,,
,,,,,,,,,,,,,,
OUTPUT MULTIPLIERS,name,multiplier,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ACTIONS,name,subtitle,category,exp,level,icon,inputs,outputs,areas,exp multipliers,input multipliers,output multipliers,exp actions,tooltip
0,Sinew,,Other,3,1,https://oldschool.runescape.wiki/images/d/db/Sinew.png?366da,1 Raw beef,1 Sinew,All,,,,1,
1,Anchovies,,Meat/Fish,30,1,https://oldschool.runescape.wiki/images/d/da/Anchovies.png?f7bae,1 Raw anchovies,1 Anchovies,Misthalin; Asgarnia; Karamja; Desert; Wilderness; Kandarin; Fremennik,,,,1,
2,Cooked chicken,,Meat/Fish,30,1,https://oldschool.runescape.wiki/images/c/c2/Cooked_chicken.png?cf630,1 Raw chicken,1 Cooked chicken,Asgarnia; Fremennik; Kandarin; Karamja; Misthalin; Tirannwn; Morytania,,,,1,
3,Cooked meat,,Meat/Fish,30,1,https://oldschool.runescape.wiki/images/8/89/Cooked_meat.png?cd447,1 Raw beef,1 Cooked meat,All,,,,1,
4,Cooked rabbit,,Meat/Fish,30,1,https://oldschool.runescape.wiki/images/1/12/Cooked_rabbit.png?c24a1,1 Raw rabbit,1 Cooked rabbit,Asgarnia; Fremennik; Karamja; Misthalin; Tirannwn,,,,1,
5,Shrimps,,Meat/Fish,30,1,https://oldschool.runescape.wiki/images/6/60/Shrimps.png?3e5d4,1 Raw shrimps,1 Shrimps,Misthalin; Asgarnia; Karamja; Desert; Wilderness; Kandarin; Fremennik,,,,1,
6,Bread,,Baking,40,1,https://oldschool.runescape.wiki/images/e/e1/Bread.png?8eb7b,1 Bread dough,1 Bread,All,,,,1,
7,Sardine,,Meat/Fish,40,1,https://oldschool.runescape.wiki/images/0/04/Sardine.png?ea433,1 Raw sardine,1 Sardine,Misthalin; Asgarnia; Karamja; Desert; Wilderness; Kandarin; Fremennik,,,,1,
8,Ugthanki meat,,Meat/Fish,40,1,https://oldschool.runescape.wiki/images/f/f3/Ugthanki_meat.png?24332,1 Raw ugthanki meat,1 Ugthanki meat,Desert,,,,1,
9,Poison karambwan,,Meat/Fish,80,1,https://oldschool.runescape.wiki/images/4/46/Poison_karambwan.png?52215,1 Raw karambwan,1 Poison karambwan,Karamja,,,,1,
10,Herring,,Meat/Fish,50,5,https://oldschool.runescape.wiki/images/f/f1/Herring.png?60488,1 Raw herring,1 Herring,Misthalin; Asgarnia; Karamja; Desert; Wilderness; Kandarin; Fremennik,,,,1,
11,Fruit blast,,Gnome cooking,50,6,https://oldschool.runescape.wiki/images/5/5e/Fruit_blast.png?7a458,1 Pineapple;1 Lemon;1 Orange;1 Lemon slices;1 Cocktail glass,1 Fruit blast,Kandarin,,,,1,
12,Baked potato,,Vegetables,15,7,https://oldschool.runescape.wiki/images/5/5b/Baked_potato.png?a689c,1 Potato,1 Baked potato,Morytania; Fremennik; Tirannwn; Asgarnia; Kandarin; Misthalin,,,,1,
13,Pineapple punch,,Gnome cooking,70,8,https://oldschool.runescape.wiki/images/e/e9/Pineapple_punch.png?7a458,2 Pineapple;1 Lemon;1 Orange;1 Lime chunks;1 Orange slices;1 Pineapple chunks;1 Cocktail glass,1 Pineapple punch,Kandarin,,,,1,
14,Spicy sauce,,Vegetables,25,9,https://oldschool.runescape.wiki/images/0/04/Spicy_sauce.png?a51f4,1 Chopped garlic;1 Gnome spice,1 Spicy sauce,Desert; Kandarin,,,,1,
15,Mackerel,,Meat/Fish,60,10,https://oldschool.runescape.wiki/images/7/7e/Mackerel.png?7157d,1 Raw mackerel,1 Mackerel,Kandarin; Fremennik; Morytania; Tirannwn; Fremennik,,,,1,
16,Redberry pie,,Baking,78,10,https://oldschool.runescape.wiki/images/5/5b/Redberry_pie.png?186c9,1 Uncooked berry pie,1 Redberry pie,Asgarnia; Misthalin; Tirannwn; Kandarin; Fremennik,,,,1,
17,Toad crunchies,,Gnome cooking,100,10,https://oldschool.runescape.wiki/images/2/22/Toad_crunchies.png?a6803,1 Gianne dough;1 Toad's legs;1 Equa leaves,1 Toad crunchies,Kandarin,,,,1,
18,Chilli con carne,,Vegetables,25,11,https://oldschool.runescape.wiki/images/b/b7/Chilli_con_carne.png?a9abf,1 Spicy sauce;1 Cooked meat,1 Chilli con carne,Desert; Kandarin,,,,1,
19,Roast bird meat,,Meat/Fish,60,11,https://oldschool.runescape.wiki/images/2/2d/Roast_bird_meat.png?a2787,1 Raw bird meat,1 Roast bird meat,All,,,,1,
20,Thin snail meat,,Meat/Fish,70,12,https://oldschool.runescape.wiki/images/4/4e/Thin_snail.png?125bd,1 Thin snail,1 Thin snail meat,Morytania,,,,1,
21,Spicy crunchies,,Gnome cooking,100,12,https://oldschool.runescape.wiki/images/4/43/Spicy_crunchies.png?9ddf6,1 Gianne dough;2 Equa leaves,1 Spicy crunchies,Kandarin,,,,1,
22,Scrambled egg,,Vegetables,50,13,https://oldschool.runescape.wiki/images/3/32/Scrambled_egg.png?a51f4,1 Uncooked egg,1 Scrambled egg,All,,,,1,
23,Worm crunchies,,Gnome cooking,100,14,https://oldschool.runescape.wiki/images/6/63/Worm_crunchies.png?0ee7c,1 Gianne dough;2 King worm;1 Equa leaves,1 Worm crunchies,Kandarin,,,,1,
24,Cider,,Brewing,182,14,https://oldschool.runescape.wiki/images/9/93/Cider.png?ecd37,4 Apple mush;1 Ale yeast;8 Beer glass,1 Cider,Fremennik; Morytania,,,,1,
25,Trout,,Meat/Fish,70,15,https://oldschool.runescape.wiki/images/6/66/Trout.png?0b59a,1 Raw trout,1 Trout,All,,,,1,
26,Roast rabbit,,Meat/Fish,70,16,https://oldschool.runescape.wiki/images/3/3c/Roast_rabbit.png?f997c,1 Raw rabbit,1 Roast rabbit,All,,,,1,
27,Spider on shaft,,Meat/Fish,80,16,https://oldschool.runescape.wiki/images/d/d2/Spider_on_stick.png?8801f,1 Spider carcass;1 Arrow shaft,1 Spider on shaft,Karamja; Kandarin,,,,1,
28,Spider on stick,,Meat/Fish,80,16,https://oldschool.runescape.wiki/images/d/d2/Spider_on_stick.png?8801f,1 Spider carcass;1 Skewer stick,1 Spider on stick,Karamja; Kandarin,,,,1,
29,Chocchip crunchies,,Gnome cooking,100,16,https://oldschool.runescape.wiki/images/1/1e/Chocchip_crunchies.png?4c548,1 Gianne dough;1 Chocolate dust;2 Chocolate bar,1 Chocchip crunchies,Kandarin,,,,1,
30,Lean snail meat,,Meat/Fish,80,17,https://oldschool.runescape.wiki/images/8/8f/Lean_snail.png?469c5,1 Lean snail,1 Lean snail meat,Morytania,,,,1,
31,Cod,,Meat/Fish,75,18,https://oldschool.runescape.wiki/images/4/41/Cod.png?cc837,1 Raw cod,1 Cod,Kandarin; Fremennik; Morytania; Tirannwn; Fremennik,,,,1,
32,Wizard blizzard,,Gnome cooking,110,18,https://oldschool.runescape.wiki/images/d/d1/Wizard_blizzard.png?c49c5,2 Vodka;1 Gin;1 Lime;1 Lemon;1 Orange;1 Pineapple chunks;1 Lime slices;1 Cocktail glass,1 Wizard blizzard,Kandarin,,,,1,
33,Dwarven stout,,Brewing,215,19,https://oldschool.runescape.wiki/images/9/9f/Dwarven_stout.png?f4d0b,2 Bucket of water;2 Barley malt;4 Hammerstone hops;1 Ale yeast;8 Beer glass,1 Dwarven stout,Fremennik; Morytania,,,,1,
34,Cup of tea,,Other,52,20,https://oldschool.runescape.wiki/images/4/46/Cup_of_tea_%28nettle%29.png?5845d,1 Nettle tea;1 Empty cup,1 Cup of tea,All,,,,1,
35,Pike,,Meat/Fish,80,20,https://oldschool.runescape.wiki/images/3/31/Pike.png?3a9a4,1 Raw pike,1 Pike,All,,,,1,
36,Meat pie,,Baking,104,20,https://oldschool.runescape.wiki/images/8/8d/Meat_pie.png?df74a,1 Uncooked meat pie,1 Meat pie,All,,,,1,
37,Short green guy,,Gnome cooking,120,20,https://oldschool.runescape.wiki/images/d/dd/Short_green_guy.png?7a458,1 Vodka;3 Lime;1 Lime slices;1 Equa leaves;1 Cocktail glass,1 Short green guy,Kandarin,,,,1,
38,Pot of cream,,Other,18,21,https://oldschool.runescape.wiki/images/3/34/Pot_of_cream.png?cec12,1 Bucket of milk,1 Pot of cream,All,,,,1,
39,Roast beast meat,,Meat/Fish,82.5,21,https://oldschool.runescape.wiki/images/4/41/Roast_beast_meat.png?e2997,1 Raw beast meat,1 Roast beast meat,Desert; Karamja; Kandarin,,,,1,
40,Cooked crab meat,,Meat/Fish,100,21,https://oldschool.runescape.wiki/images/e/ec/Cooked_crab_meat_5.png?df0b0,1 Crab meat,1 Cooked crab meat,Kandarin,,,,1,
41,Fat snail meat,,Meat/Fish,95,22,https://oldschool.runescape.wiki/images/3/31/Fat_snail.png?76645,1 Fat snail,1 Fat snail meat,Morytania,,,,1,
42,Asgarnian ale,,Brewing,248,24,https://oldschool.runescape.wiki/images/1/10/Asgarnian_ale.png?6de6d,2 Bucket of water;2 Barley malt;4 Asgarnian hops;1 Ale yeast;8 Beer glass,1 Asgarnian ale,Fremennik; Morytania,,,,1,
43,Salmon,,Meat/Fish,90,25,https://oldschool.runescape.wiki/images/e/e0/Salmon.png?8ed0d,1 Raw salmon,1 Salmon,All,,,,1,
44,Stew,,Other,117,25,https://oldschool.runescape.wiki/images/3/31/Stew.png?7dc5d,1 Bowl of water;1 Potato;1 Cooked meat,1 Stew,All,,,,1,
45,Fruit batta,,Gnome cooking,150,25,https://oldschool.runescape.wiki/images/d/db/Fruit_batta.png?c6b9a,1 Gianne dough;4 Equa leaves;1 Lime chunks;1 Orange chunks;1 Pineapple chunks,1 Fruit batta,Kandarin,,,,1,
46,Toad batta,,Gnome cooking,152,26,https://oldschool.runescape.wiki/images/c/c7/Toad_batta.png?9ddf6,1 Gianne dough;1 Equa leaves;1 Toad's legs;1 Cheese,1 Toad batta,Kandarin,,,,1,
47,Worm batta,,Gnome cooking,154,27,https://oldschool.runescape.wiki/images/8/89/Worm_batta.png?e1d3d,1 Gianne dough;1 King worm;1 Cheese,1 Worm batta,Kandarin,,,,1,
48,Slimy eel,,Meat/Fish,95,28,https://oldschool.runescape.wiki/images/2/2f/Slimy_eel.png?049a9,1 Raw slimy eel,1 Slimy eel,Misthalin; Morytania,,,,1,
49,Cooked sweetcorn,,Vegetables,104,28,https://oldschool.runescape.wiki/images/2/29/Cooked_sweetcorn.png?f7190,1 Sweetcorn,1 Cooked sweetcorn,All,,,,1,
50,Vegetable batta,,Gnome cooking,156,28,https://oldschool.runescape.wiki/images/6/68/Vegetable_batta.png?e1d3d,1 Gianne dough;2 Tomato;1 Dwellberries;1 Cabbage;1 Cheese;1 Onion;1 Equa leaves,1 Vegetable batta,Kandarin,,,,1,
51,Mud pie,,Baking,128,29,https://oldschool.runescape.wiki/images/f/f7/Mud_pie.png?33072,1 Raw mud pie,1 Mud pie,All,,,,1,
52,Cheese+tom batta,,Gnome cooking,158,29,https://oldschool.runescape.wiki/images/c/c4/Cheese%2Btom_batta.png?3358e,1 Gianne dough;1 Tomato;1 Cheese,1 Cheese+tom batta,Kandarin,,,,1,
53,Greenman's ale,,Brewing,281,29,https://oldschool.runescape.wiki/images/c/c6/Greenman%27s_ale.png?611b9,2 Bucket of water;2 Barley malt;4 Harralander;1 Ale yeast;8 Beer glass,1 Greenman's ale,Fremennik; Morytania,,,,1,
54,Cooked chompy,,Meat/Fish,100,30,https://oldschool.runescape.wiki/images/c/c1/Cooked_chompy.png?a2138,1 Raw chompy,1 Cooked chompy,Kandarin,,,,1,
55,Tuna,,Meat/Fish,100,30,https://oldschool.runescape.wiki/images/c/c5/Tuna.png?a64a6,1 Raw tuna,1 Tuna,All,,,,1,
56,Apple pie,,Baking,130,30,https://oldschool.runescape.wiki/images/2/26/Apple_pie.png?186c9,1 Uncooked apple pie,1 Apple pie,All,,,,1,
57,Worm hole,,Gnome cooking,170,30,https://oldschool.runescape.wiki/images/0/02/Worm_hole.png?0847d,1 Gianne dough;4 King worm;2 Onion;1 Equa leaves,1 Worm hole,Kandarin,,,,1,
58,Cooked karambwan,,Meat/Fish,190,30,https://oldschool.runescape.wiki/images/8/87/Cooked_karambwan.png?7511a,1 Raw karambwan,1 Cooked karambwan,Karamja,,,,1,
59,Cooked fishcake,,Baking,100,31,https://oldschool.runescape.wiki/images/6/6e/Cooked_fishcake.png?b057f,1 Raw fishcake,1 Cooked fishcake,All,,,,1,
60,Drunk dragon,,Gnome cooking,160,32,https://oldschool.runescape.wiki/images/b/be/Drunk_dragon.png?e2c00,1 Gin;1 Vodka;1 Dwellberries;1 Pineapple chunks;1 Pot of cream;1 Cocktail glass,1 Drunk dragon,Kandarin,,,,1,
61,Choc saturday,,Gnome cooking,170,33,https://oldschool.runescape.wiki/images/7/7d/Choc_saturday.png?bc20d,1 Whisky;1 Bucket of milk;1 Chocolate dust;1 Chocolate bar;1 Equa leaves;1 Cocktail glass,1 Choc saturday,Kandarin,,,,1,
62,Garden pie,,Baking,128,34,https://oldschool.runescape.wiki/images/d/da/Garden_pie.png?611f7,1 Raw garden pie,1 Garden pie,All,,,,1,
63,Wizard's mind bomb,,Brewing,314,34,https://oldschool.runescape.wiki/images/b/b8/Wizard%27s_mind_bomb.png?a25c9,2 Bucket of water;2 Barley malt;4 Yanillian hops;1 Ale yeast;8 Beer glass,1 Wizard's mind bomb,Fremennik; Morytania,,,,1,
64,Rainbow fish,,Meat/Fish,110,35,https://oldschool.runescape.wiki/images/b/bb/Rainbow_fish.png?12bd8,1 Raw rainbow fish,1 Rainbow fish,All,,,,1,
65,Plain pizza,,Baking,143,35,https://oldschool.runescape.wiki/images/7/7d/Plain_pizza.png?9db03,1 Uncooked pizza,1 Plain pizza,All,,,,1,
66,Veg ball,,Gnome cooking,175,35,https://oldschool.runescape.wiki/images/8/82/Veg_ball.png?a6803,1 Gianne dough;2 Onion;2 Potato;1 Equa leaves,1 Veg ball,Kandarin,,,,1,
67,Jug of wine,,Other,200,35,https://oldschool.runescape.wiki/images/9/98/Jug_of_wine.png?a1091,1 Jug of water;1 Grapes,1 Jug of wine,All,,,,1,
68,Blurberry special,,Gnome cooking,180,37,https://oldschool.runescape.wiki/images/2/21/Blurberry_special.png?bc20d,1 Vodka;1 Brandy;1 Gin;2 Lemon;1 Orange;1 Lemon chunks;1 Orange chunks;1 Equa leaves;1 Lime slices;1 Cocktail glass,1 Blurberry special,Kandarin,,,,1,
69,Pat of butter,,Other,40.5,38,https://oldschool.runescape.wiki/images/b/b7/Pat_of_butter.png?f3fb3,1 Bucket of milk,1 Pat of butter,All,,,,1,
70,Cave eel,,Meat/Fish,115,38,https://oldschool.runescape.wiki/images/0/0c/Cave_eel.png?e2650,1 Raw cave eel,1 Cave eel,Misthalin,,,,1,
71,Potato with butter,,Vegetables,40,39,https://oldschool.runescape.wiki/images/0/0e/Potato_with_butter.png?445ab,1 Baked potato;1 Pat of butter,1 Potato with butter,All,,,,1,
72,Dragon bitter,,Brewing,347,39,https://oldschool.runescape.wiki/images/9/9b/Dragon_bitter.png?9ce2c,2 Bucket of water;2 Barley malt;4 Krandorian hops;1 Ale yeast;8 Beer glass,1 Dragon bitter,Fremennik; Morytania,,,,1,
73,Lobster,,Meat/Fish,120,40,https://oldschool.runescape.wiki/images/9/9f/Lobster.png?059b3,1 Raw lobster,1 Lobster,All,,,,1,
74,Cake,,Baking,180,40,https://oldschool.runescape.wiki/images/f/f0/Cake.png?dc325,1 Egg;1 Bucket of milk;1 Pot of flour;1 Cake tin,1 Cake,All,,,,1,
75,Tangled toad's legs,,Gnome cooking,185,40,https://oldschool.runescape.wiki/images/3/3b/Tangled_toad%27s_legs.png?ac6b1,1 Gianne dough;4 Toad's legs;2 Cheese;2 Equa leaves;1 Dwellberries,1 Tangled toad's legs,Kandarin,,,,1,
76,Chilli potato,,Vegetables,15,41,https://oldschool.runescape.wiki/images/1/1f/Chilli_potato.png?14244,1 Potato with butter;1 Chilli con carne,1 Chilli potato,All,,,,1,
77,Cooked jubbly,,Meat/Fish,160,41,https://oldschool.runescape.wiki/images/c/c9/Cooked_jubbly.png?7f9c9,1 Raw jubbly,1 Cooked jubbly,Kandarin,,,,1,
78,Fried onions,,Vegetables,60,42,https://oldschool.runescape.wiki/images/f/fe/Fried_onions.png?23e5a,1 Chopped onion,1 Fried onions,All,,,,1,
79,Chocolate bomb,,Gnome cooking,190,42,https://oldschool.runescape.wiki/images/4/4d/Chocolate_bomb.png?36521,1 Gianne dough;4 Chocolate bar;1 Equa leaves;1 Chocolate dust;2 Pot of cream,1 Chocolate bomb,Kandarin,,,,1,
80,Bass,,Meat/Fish,130,43,https://oldschool.runescape.wiki/images/b/bd/Bass.png?52aff,1 Raw bass,1 Bass,Kandarin; Fremennik; Morytania; Tirannwn; Fremennik,,,,1,
