SKILL,icon,type,isCombatSkill,,,,,,,,,,,
Crafting,https://oldschool.runescape.wiki/images/c/cf/Crafting_icon.png?a1f71,processing,FALSE,,,,,,,,,,,
,,,,,,,,,,,,,,
CATEGORIES,,,,,,,,,,,,,,
Spinning/Weaving,Armour,Pottery,Jewelry,Glassblowing,Weapons,Crystal,Birdhouses,Other,,,,,,
,,,,,,,,,,,,,,
EXP MULTIPLIERS,name,multiplier,,,,,,,,,,,,
,,,,,,,,,,,,,,
INPUT MULTIPLIERS,name,multiplier,,,,,,,,,,,,
,,,,,,,,,,,,,,
OUTPUT MULTIPLIERS,name,multiplier,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ACTIONS,name,subtitle,category,exp,level,icon,inputs,outputs,areas,exp multipliers,input multipliers,output multipliers,exp actions,tooltip
0,Ball of wool,,Spinning/Weaving,2.5,1,https://oldschool.runescape.wiki/images/7/7e/Ball_of_wool.png?a3614,1 Wool,1 Ball of wool,All,,,,1,
148,String amulet,Any amulet type,Jewelry,4,1,https://oldschool.runescape.wiki/images/7/7e/Ball_of_wool.png?a3614,1 Ball of wool;1 Unstrung amulet,1 Strung amulet,All,,,,1,
1,Opal ring,,Jewelry,10,1,https://oldschool.runescape.wiki/images/1/15/Opal_ring.png?9177e,1 Opal;1 Silver bar,1 Opal ring,All,,,,1,
2,Pot,,Pottery,12.6,1,https://oldschool.runescape.wiki/images/5/54/Pot.png?ff316,1 Soft clay,1 Pot,All,,,,1,
3,Leather gloves,,Armour,13.8,1,https://oldschool.runescape.wiki/images/9/95/Leather_gloves.png?af91a,1 Leather;1 Thread,1 Leather gloves,All,,,,1,
4,Opal,,Jewelry,15,1,https://oldschool.runescape.wiki/images/3/3c/Opal.png?eba56,1 Uncut opal,1 Opal,All,,,,1,
5,Beer glass,,Glassblowing,17.5,1,https://oldschool.runescape.wiki/images/c/cb/Beer_glass.png?2567b,1 Molten glass,1 Beer glass,All,,,,1,
149,Beer glass,From scratch,Glassblowing,37.5,1,https://oldschool.runescape.wiki/images/c/cb/Beer_glass.png?2567b,1 Soda ash;1 Bucket of sand,1 Beer glass,All,,,,2,
159,Beer glass,From scratch; superglass make,Glassblowing,357.5,1,https://oldschool.runescape.wiki/images/c/cb/Beer_glass.png?2567b,13 Bucket of sand;13 Seaweed;2 Astral rune;6 Fire rune;10 Air rune,17 Beer glass,Fremennik,,,,18,Assumes 13 sand and 13 seaweed per inventory
160,Beer glass,From scratch; superglass make with giant seaweed,Glassblowing,495,1,https://oldschool.runescape.wiki/images/c/cb/Beer_glass.png?2567b,18 Bucket of sand;3 Giant seaweed;2 Astral rune;6 Fire rune;10 Air rune,28 Beer glass,Fremennik,,,,29,Assumes 18 sand and 3 giant seaweed per inventory
6,Molten glass,,Glassblowing,20,1,https://oldschool.runescape.wiki/images/8/84/Molten_glass.png?bf722,1 Soda ash;1 Bucket of sand,1 Molten glass,All,,,,1,
161,Molten glass,Superglass make,Glassblowing,130,1,https://oldschool.runescape.wiki/images/8/84/Molten_glass.png?bf722,13 Bucket of sand;13 Seaweed;2 Astral rune;6 Fire rune;10 Air rune,17 Molten glass,Fremennik,,,,1,Assumes 13 sand and 13 seaweed per inventory
