SKILL,icon,type,isCombatSkill,,,,,,,,,,,
Fletching,https://oldschool.runescape.wiki/images/9/93/Fletching_icon.png?15cda,processing,FALSE,,,,,,,,,,,
,,,,,,,,,,,,,,
CATEGORIES,,,,,,,,,,,,,,
Bows,Crossbows,Arrows,Shields,Other,Bolts,Darts,Javelins,,,,,,,
,,,,,,,,,,,,,,
EXP MULTIPLIERS,name,multiplier,,,,,,,,,,,,
,,,,,,,,,,,,,,
INPUT MULTIPLIERS,name,multiplier,,,,,,,,,,,,
,,,,,,,,,,,,,,
OUTPUT MULTIPLIERS,name,multiplier,,,,,,,,,,,,
,,,,,,,,,,,,,,
ACTIONS,name,subtitle,category,exp,level,icon,inputs,outputs,areas,exp multipliers,input multipliers,output multipliers,exp actions,tooltip
0,Headless arrows ,,Arrows,1,1,https://oldschool.runescape.wiki/images/c/c6/Headless_arrow.png?2a2da,1 Arrow shafts;1 Feather,1 Headless arrow,All,,,,0.066666666666667,
1,Bronze arrows ,,Arrows,1.3,1,https://oldschool.runescape.wiki/images/f/f6/Bronze_arrow_5.png?908c0,1 Headless arrow;1 Bronze arrowtip,1 Bronze arrow,All,,,,0.066666666666667,
2,Bronze arrows ,From scratch,Arrows,2.63,1,https://oldschool.runescape.wiki/images/f/f6/Bronze_arrow_5.png?908c0,0.0666666666666667 Logs; 1 Feather;1 Bronze arrowtip,1 Bronze arrow,All,,,,0.2,
3,Arrow shafts,,Arrows,0.33,1,https://oldschool.runescape.wiki/images/c/cb/Arrow_shaft_5.png?3ba7a,0.0666666666666667 Logs,1 Arrow shafts,All,,,,0.066666666666667,
4,Bronze javelins ,,Javelins,1,3,https://oldschool.runescape.wiki/images/0/02/Bronze_javelin.png?bbb83,1 Javelin shafts;1 Bronze javelin heads,1 Bronze javelins,All,,,,0.066666666666667,
5,Javelin shafts,,Javelins,0.33,3,https://oldschool.runescape.wiki/images/4/49/Javelin_shaft_5.png?c5108,0.066666666666667 Logs,1 Javelin shafts,All,,,,0.066666666666667,
6,Flighted ogre arrow ,,Arrows,1.5,5,https://oldschool.runescape.wiki/images/e/e5/Flighted_ogre_arrow_5.png?83978,1 Ogre arrow shaft;4 Feather,1 Flighted ogre arrow,Kandarin,,,,0.166666666666667,
7,Ogre arrow ,,Arrows,1,5,https://oldschool.runescape.wiki/images/3/36/Ogre_arrow_5.png?3a552,1 Flighted ogre arrow;1 Wolfbone arrowtips,1 Ogre arrow,All,,,,0.166666666666667,
8,Shortbow,Unstrung,Bows,5,5,https://oldschool.runescape.wiki/images/1/10/Shortbow_%28u%29.png?f333d,1 Logs,1 Shortbow (u),All,,,,1,
9,Shortbow,Stringing,Bows,5,5,https://oldschool.runescape.wiki/images/f/f9/Shortbow.png?83535,1 Shortbow (u);1 Bowstring,1 Shortbow,All,,,,1,
10,Ogre arrow shaft ,,Arrows,1.2,5,https://oldschool.runescape.wiki/images/e/e5/Ogre_arrow_shaft_5.png?db25b,0.166666666666667 Achey tree logs,1 Ogre arrow shaft,Kandarin,,,,0.166666666666667,
11,Shortbow,From scratch,Bows,10,5,https://oldschool.runescape.wiki/images/f/f9/Shortbow.png?83535,1 Logs;1 Bowstring,1 Shortbow,All,,,,1,
12,Wolfbone arrowtips ,,Arrows,2.5,5,https://oldschool.runescape.wiki/images/1/15/Wolfbone_arrowtips.png?b0bb9,1 Wolf bones,1 Wolfbone arrowtips,All,,,,0.166666666666667,
13,Bronze brutal ,,Arrows,1.4,7,https://oldschool.runescape.wiki/images/d/df/Bronze_brutal_5.png?7dd94,1 Flighted ogre arrow;1 Bronze nails,1 Bronze brutal,All,,,,0.166666666666667,
14,Bronze bolts ,,Bolts,0.5,9,https://oldschool.runescape.wiki/images/3/39/Bronze_bolts_5.png?171b1,1 Bronze bolts (unf);1 Feather,1 Bronze bolts,All,,,,0.1,
15,Wooden stock,,Crossbows,6,9,https://oldschool.runescape.wiki/images/5/59/Wooden_stock.png?0142a,1 Logs,1 Wooden stock,All,,,,1,
16,Bronze crossbow,Stringing,Crossbows,6,9,https://oldschool.runescape.wiki/images/2/2e/Bronze_crossbow.png?7f50d,1 Bronze crossbow (u);1 Crossbow string,1 Bronze crossbow,All,,,,1,
17,Mith grapple (unf),,Other,11,9,https://oldschool.runescape.wiki/images/a/a7/Mith_grapple_%28unf%29.png?0b92a,1 Mith grapple tip;1 Mithril bolts,1 Mith grapple (unf),All,,,,1,
18,Bronze crossbow,Attach limbs,Crossbows,12,9,https://oldschool.runescape.wiki/images/2/2c/Bronze_crossbow_%28u%29.png?fabd1,1 Wooden stock;1 Bronze limbs,1 Bronze crossbow (u),All,,,,1,
19,Bronze crossbow,From scratch,Crossbows,24,9,https://oldschool.runescape.wiki/images/2/2e/Bronze_crossbow.png?7f50d,1 Logs;1 Bronze limbs;1 Crossbow string,1 Bronze crossbow,All,,,,1,
20,Bronze darts ,,Darts,1.8,10,https://oldschool.runescape.wiki/images/1/13/Bronze_dart.png?a018f,1 Feather;1 Bronze dart tip,1 Bronze darts,Desert,,,,0.1,
21,Longbow,Unstrung,Bows,10,10,https://oldschool.runescape.wiki/images/8/8e/Longbow_%28u%29.png?4ca88,1 Logs,1 Longbow (u),All,,,,1,
22,Longbow,Stringing,Bows,10,10,https://oldschool.runescape.wiki/images/e/e4/Longbow.png?1d3dc,1 Longbow (u);1 Bowstring,1 Longbow,All,,,,1,
23,Longbow,From scratch,Bows,20,10,https://oldschool.runescape.wiki/images/e/e4/Longbow.png?1d3dc,1 Logs;1 Bowstring,1 Longbow,All,,,,1,
24,Opal bolts ,,Bolts,1.6,11,https://oldschool.runescape.wiki/images/2/2d/Opal_bolts_5.png?4cfa7,1 Bronze bolts;1 Opal bolt tips,1 Opal bolts,All,,,,0.1,
25,Opal bolt tips,,Bolts,1.6,11,https://oldschool.runescape.wiki/images/e/e0/Opal_bolt_tips_5.png?0894f,1 Opal,12 Opal bolt tips,All,,,,1,
26,Iron arrows ,,Arrows,2.5,15,https://oldschool.runescape.wiki/images/e/ec/Iron_arrow_5.png?8d7e7,1 Headless arrow;1 Iron arrowtip,1 Iron arrow,All,,,,0.066666666666667,
27,Iron arrows ,From scratch,Arrows,3.83,15,https://oldschool.runescape.wiki/images/e/ec/Iron_arrow_5.png?8d7e7,0.0666666666666667 Logs; 1 Feather;1 Iron arrowtip,1 Iron arrow,All,,,,0.2,
28,Arrow shafts,From oak logs,Arrows,0.33,15,https://oldschool.runescape.wiki/images/c/cb/Arrow_shaft_5.png?3ba7a,0.033333333333333 Oak logs,30 Arrow shafts,All,,,,0.033333333333333,
29,Iron javelins ,,Javelins,2,17,https://oldschool.runescape.wiki/images/f/ff/Iron_javelin.png?bbb83,1 Javelin shafts;1 Iron javelin heads,1 Iron javelins,All,,,,0.066666666666667,
30,Iron brutal ,,Arrows,2.6,18,https://oldschool.runescape.wiki/images/f/fe/Iron_brutal_5.png?3d2e8,1 Flighted ogre arrow;1 Iron nails,1 Iron brutal,All,,,,0.166666666666667,
31,Oak shortbow,Unstrung,Bows,16.5,20,https://oldschool.runescape.wiki/images/1/18/Oak_shortbow_%28u%29.png?1110b,1 Oak logs,1 Oak shortbow (u),All,,,,1,
32,Oak shortbow,Stringing,Bows,16.5,20,https://oldschool.runescape.wiki/images/8/8b/Oak_shortbow.png?14570,1 Oak shortbow (u);1 Bowstring,1 Oak shortbow,All,,,,1,
33,Oak shortbow,From scratch,Bows,33,20,https://oldschool.runescape.wiki/images/8/8b/Oak_shortbow.png?14570,1 Oak logs;1 Bowstring,1 Oak shortbow,All,,,,1,
34,Iron darts ,,Darts,3.8,22,https://oldschool.runescape.wiki/images/2/2d/Iron_dart.png?4a4ba,1 Feather;1 Iron dart tip,1 Iron darts,Desert,,,,0.1,
35,Blurite bolts ,,Bolts,1,24,https://oldschool.runescape.wiki/images/1/10/Blurite_bolts_5.png?f7075,1 Blurite bolts (unf);1 Feather,1 Blurite bolts,All,,,,0.1,
36,Oak stock,,Crossbows,16,24,https://oldschool.runescape.wiki/images/f/fd/Oak_stock.png?8680b,1 Oak logs,1 Oak stock,All,,,,1,
37,Blurite crossbow,Stringing,Crossbows,16,24,https://oldschool.runescape.wiki/images/c/c3/Blurite_crossbow.png?7b986,1 Blurite crossbow (u);1 Crossbow string,1 Blurite crossbow,All,,,,1,
38,Blurite crossbow,Attach limbs,Crossbows,32,24,https://oldschool.runescape.wiki/images/c/c8/Blurite_crossbow_%28u%29.png?d3956,1 Oak stock;1 Blurite limbs,1 Blurite crossbow (u),All,,,,1,
39,Blurite crossbow,From scratch,Crossbows,64,24,https://oldschool.runescape.wiki/images/c/c3/Blurite_crossbow.png?7b986,1 Oak logs;1 Blurite limbs;1 Crossbow string,1 Blurite crossbow,All,,,,1,
40,Oak longbow,Unstrung,Bows,25,25,https://oldschool.runescape.wiki/images/c/c7/Oak_longbow_%28u%29.png?c2b3a,1 Oak logs,1 Oak longbow (u),All,,,,1,
41,Oak longbow,Stringing,Bows,25,25,https://oldschool.runescape.wiki/images/1/13/Oak_longbow.png?1f1d2,1 Oak longbow (u);1 Bowstring,1 Oak longbow,All,,,,1,
