SKILL,,,,,,,,
name,icon,type,isCombatSkill,,,,,
Hunter,https://oldschool.runescape.wiki/images/d/dd/Hunter_icon.png?8762f,gathering,FALSE,,,,,
,,,,,,,,
CATEGORIES,,,,,,,,
Bird houses,Trapping,Netting,Implings,Falconry,Tracking,,,
,,,,,,,,
EXP MULTIPLIERS,,,,,,,,
id,name,multiplier,,,,,,
0,League base multiplier (500%),5,,,,,,
,,,,,,,,
,,,,,,,,
OUTPUT MULTIPLIERS,,,,,,,,
id,name,multiplier,,,,,,
,,,,,,,,
,,,,,,,,
ACTIONS,,,,,,,,
id,name,category,exp,level,icon,inputs,outputs,areas
1,Polar kebbit,Tracking,30,1,https://oldschool.runescape.wiki/images/9/9e/Polar_kebbit_icon.png?17990,,1 Polar kebbit fur,Fremennik Province
0,Crimson swift,Trapping,34,1,https://oldschool.runescape.wiki/images/7/74/Crimson_swift_icon.png?4d512,,7.5 Red feather,Western Provinces; Zeah
2,Common kebbit,Tracking,36,3,https://oldschool.runescape.wiki/images/3/3b/Common_kebbit_icon.png?e4d35,,1 Common kebbit fur,Western Provinces
4,Golden warbler,Trapping,47,5,https://oldschool.runescape.wiki/images/0/00/Golden_warbler_icon.png?c7cd3,,7.5 Yellow feather,Desert
3,Bird house,Bird houses,280,5,https://oldschool.runescape.wiki/images/f/f3/Bird_house.png?fdb7f,1 Logs;10 Hops/herb seeds,10 Feathers;1 Bird nest - 50,Misthalin
5,Feldip weasel,Tracking,48,7,https://oldschool.runescape.wiki/images/0/0b/Feldip_Weasel_icon.png?9d0e1,,1 Feldip weasel fur,Western Provinces
6,Copper longtail,Trapping,61,9,https://oldschool.runescape.wiki/images/b/bc/Copper_longtail_icon.png?24312,,7.5 Orange feather,Western Provinces; Zeah
7,Cerulean twitch,Trapping,64.6,11,https://oldschool.runescape.wiki/images/0/02/Cerulean_twitch_icon.png?2f51a,,7.5 Blue feather,Fremennik Province
8,Desert devil,Tracking,66,13,https://oldschool.runescape.wiki/images/a/a2/Desert_devil_icon.png?17990,,1 Desert devil fur,Desert
9,Oak bird house,Bird houses,420,14,https://oldschool.runescape.wiki/images/8/87/Oak_bird_house.png?dddae,1 Oak logs;10 Hops/herb seeds,10 Feathers;1 Bird nest - 75,Misthalin
10,Ruby harvest,Netting,24,15,https://oldschool.runescape.wiki/images/e/ed/Ruby_harvest_icon.png?e3e83,1 Butterfly jar,1 Ruby harvest,Western Provinces; Zeah
12,Baby impling (puro puro),Implings,18,17,https://oldschool.runescape.wiki/images/5/54/Baby_impling_jar.png?caeaf,1 Impling jar,1 Baby impling,Misthalin
11,Baby impling (overworld),Implings,20,17,https://oldschool.runescape.wiki/images/5/54/Baby_impling_jar.png?caeaf,1 Impling jar,1 Baby impling,All
13,Tropical wagtail,Trapping,95,19,https://oldschool.runescape.wiki/images/b/bb/Tropical_wagtail_icon.png?7b251,,7.5 Stripy feather,Western Provinces
15,Young impling (puro puro),Implings,20,22,https://oldschool.runescape.wiki/images/1/1e/Young_impling_jar.png?84152,1 Impling jar,1 Young impling,Misthalin
14,Young impling (overworld),Implings,22,22,https://oldschool.runescape.wiki/images/1/1e/Young_impling_jar.png?84152,1 Impling jar,1 Young impling,All
16,Wild kebbit,Trapping,128,23,https://oldschool.runescape.wiki/images/e/ea/Wild_kebbit_icon.png?2b912,1 Logs,1 Kebbit claws,Western Provinces
17,Willow bird house,Bird houses,560,24,https://oldschool.runescape.wiki/images/9/9f/Willow_bird_house.png?6f185,1 Willow logs;10 Hops/herb seeds,10 Feathers;1 Bird nest,Misthalin
18,Sapphire glacialis,Netting,34,25,https://oldschool.runescape.wiki/images/5/5b/Sapphire_glacialis_icon.png?75d0c,1 Butterfly jar,1 Sapphire glacialis,Fremennik Province
19,Ferret,Trapping,115,27,https://oldschool.runescape.wiki/images/0/09/Ferret.png?1956f,,1 Ferret,Western Provinces
20,White rabbit,Trapping,144,27,https://oldschool.runescape.wiki/images/8/89/White_rabbit_icon.png?95249,,1 Rabbit foot,Western Provinces
22,Gourmet impling (puro puro),Implings,22,28,https://oldschool.runescape.wiki/images/6/68/Gourmet_impling_jar.png?1092d,1 Impling jar,1 Gourmet impling,Misthalin
21,Gourmet impling (overworld),Implings,24,28,https://oldschool.runescape.wiki/images/6/68/Gourmet_impling_jar.png?1092d,1 Impling jar,1 Gourmet impling,All
23,Swamp lizard,Trapping,152,29,https://oldschool.runescape.wiki/images/a/a3/Swamp_lizard.png?c468b,,1 Swamp lizard,Morytania
24,Spined larupia,Trapping,180,31,https://oldschool.runescape.wiki/images/f/ff/Spined_larupia_icon.png?61cae,,1 Big bones;1 Larupia fur,Western Provinces
25,Barb-tailed kebbit,Trapping,168,33,https://oldschool.runescape.wiki/images/4/44/Barb-tailed_kebbit_icon.png?e4d35,1 Logs,1 Barb-tail harpoon,Western Provinces
26,Teak bird house,Bird houses,700,34,https://oldschool.runescape.wiki/images/8/8d/Teak_bird_house.png?c024f,1 Teak logs;10 Hops/herb seeds,10 Feathers;1 Bird nest - 125,Misthalin
27,Snowy knight,Netting,44,35,https://oldschool.runescape.wiki/images/0/0e/Snowy_knight_icon.png?56857,1 Butterfly jar,1 Snowy knight,Fremennik Province
29,Earth impling (puro puro),Implings,25,36,https://oldschool.runescape.wiki/images/4/43/Earth_impling_jar.png?70983,1 Impling jar,1 Earth impling,Misthalin
28,Earth impling (overworld),Implings,27,36,https://oldschool.runescape.wiki/images/4/43/Earth_impling_jar.png?70983,1 Impling jar,1 Earth impling,All
30,Prickly kebbit,Trapping,204,37,https://oldschool.runescape.wiki/images/a/a7/Prickly_kebbit_icon.png?5e144,1 Logs,1 Kebbit spike,Western Provinces
31,Horned graahk,Trapping,240,41,https://oldschool.runescape.wiki/images/e/e5/Horned_graahk_icon.png?800ca,,1 Big bones;1 Graahk fur,Karamja
33,Essence impling (puro puro),Implings,27,42,https://oldschool.runescape.wiki/images/5/54/Essence_impling_jar.png?a33ff,1 Impling jar,1 Essence impling,Misthalin
32,Essence impling (overworld),Implings,29,42,https://oldschool.runescape.wiki/images/5/54/Essence_impling_jar.png?a33ff,1 Impling jar,1 Essence impling,All
34,Spotted kebbit,Falconry,104,43,https://oldschool.runescape.wiki/images/c/cd/Spotted_kebbit_icon.png?5e144,,1 Spotted kebbit fur,Western Provinces
35,Maple bird house,Bird houses,820,44,https://oldschool.runescape.wiki/images/3/39/Maple_bird_house.png?64302,1 Maple logs;10 Hops/herb seeds,10 Feathers;1 Bird nest - 150,Misthalin
36,Black warlock,Netting,54,45,https://oldschool.runescape.wiki/images/2/2d/Black_warlock_icon.png?6b01f,1 Butterfly jar,1 Black warlock,Western Provinces
37,Orange salamander,Trapping,224,47,https://oldschool.runescape.wiki/images/4/44/Orange_salamander.png?a0f74,,1 Orange salamander,Desert
39,Razor-backed kebbit,Tracking,348,49,https://oldschool.runescape.wiki/images/a/a2/Razor-backed_kebbit_icon.png?5e144,,1 Long kebbit spike,Western Provinces
38,Mahogany bird house,Bird houses,960,49,https://oldschool.runescape.wiki/images/5/5e/Mahogany_bird_house.png?a10e2,1 Mahogany logs;10 Hops/herb seeds,10 Feathers;1 Bird nest - 75,Misthalin
41,Eclectic impling (puro puro),Implings,32,50,https://oldschool.runescape.wiki/images/1/14/Eclectic_impling_jar.png?a33ff,1 Impling jar,1 Eclectic impling,Misthalin
40,Eclectic impling (overworld),Implings,34,50,https://oldschool.runescape.wiki/images/1/14/Eclectic_impling_jar.png?a33ff,1 Impling jar,1 Eclectic impling,All
42,Sabre-toothed kebbit,Trapping,200,51,https://oldschool.runescape.wiki/images/3/37/Sabre-toothed_kebbit_icon.png?5e144,1 Logs,1 Kebbit teeth,Fremennik Province
43,Chinchompa,Trapping,198.25,53,https://oldschool.runescape.wiki/images/2/29/Chinchompa.png?32e7e,,1 Chinchompa,Western Provinces; Zeah
44,Sabre-toothed kyatt,Trapping,300,55,https://oldschool.runescape.wiki/images/a/a7/Sabre-toothed_kyatt_icon.png?b754f,,1 Big bones;1 Kyatt fur,Fremennik Province
45,Dark kebbit,Falconry,132,57,https://oldschool.runescape.wiki/images/0/0a/Dark_kebbit_icon.png?e4d35,,1 Dark kebbit fur,Western Provinces
47,Nature impling (puro puro),Implings,34,58,https://oldschool.runescape.wiki/images/d/df/Nature_impling_jar.png?43805,1 Impling jar,1 Nature impling,Misthalin
46,Nature impling (overworld),Implings,36,58,https://oldschool.runescape.wiki/images/d/df/Nature_impling_jar.png?43805,1 Impling jar,1 Nature impling,All
49,Red salamander,Trapping,272,59,https://oldschool.runescape.wiki/images/9/97/Red_salamander.png?8bfeb,,1 Red salamander,Western Provinces
48,Yew bird house,Bird houses,1020,59,https://oldschool.runescape.wiki/images/a/a0/Yew_bird_house.png?634c3,1 Yew logs;10 Hops/herb seeds,10 Feathers;1 Bird nest - 200,Misthalin
50,Maniacal monkey,Trapping,1000,60,https://oldschool.runescape.wiki/images/3/38/Maniacal_monkey_icon.png?dd0b7,1 Banana,1 Damaged monkey tail;1 Monkey tail - 0.0002,Western Provinces
51,Carnivorous chinchompa,Trapping,265,63,https://oldschool.runescape.wiki/images/b/b0/Red_chinchompa.png?9b7da,,1 Red chinchompa,Western Provinces; Zeah
53,Magpie impling (puro puro),Implings,44,65,https://oldschool.runescape.wiki/images/f/f3/Magpie_impling_jar.png?1092d,1 Impling jar,1 Magpie impling,Misthalin
52,Magpie impling (overworld),Implings,216,65,https://oldschool.runescape.wiki/images/f/f3/Magpie_impling_jar.png?1092d,1 Impling jar,1 Magpie impling,All
54,Black salamander,Trapping,319.2,67,https://oldschool.runescape.wiki/images/0/03/Black_salamander.png?9122a,,1 Black salamander,Wilderness
