SKILL,icon,type,isCombatSkill,,,,,,,,,,,
Mining,https://oldschool.runescape.wiki/images/4/4a/Mining_icon.png?00870,gathering,FALSE,,,,,,,,,,,
,,,,,,,,,,,,,,
CATEGORIES,,,,,,,,,,,,,,
Ore/Rock,Essence,Other,,,,,,,,,,,,
,,,,,,,,,,,,,,
EXP MULTIPLIERS,name,multiplier,,,,,,,,,,,,
0,Prospector Kit (102.5%) ,1.025,,,,,,,,,,,,
,,,,,,,,,,,,,,
INPUT MULTIPLIERS,name,multiplier,,,,,,,,,,,,
,,,,,,,,,,,,,,
OUTPUT MULTIPLIERS,name,multiplier,,,,,,,,,,,,
,,,,,,,,,,,,,,
ACTIONS,name,subtitle,category,exp,level,icon,inputs,outputs,areas,exp multipliers,input multipliers,output multipliers,exp actions,tooltip
0,Clay,,Ore/Rock,5,1,https://oldschool.runescape.wiki/images/a/a2/Clay.png?8a480,,1 Clay,Asgarnia; Kandarin; Fremennik; Misthalin; Morytania; Desert,0,,All,1,
1,Rune essence,,Essence,5,1,https://oldschool.runescape.wiki/images/5/54/Rune_essence.png?45b83,,1 Rune essence,All,0,,All,1,
2,Copper ore,,Ore/Rock,17.5,1,https://oldschool.runescape.wiki/images/c/c3/Copper_ore.png?23086,,1 Copper,Asgarnia; Kandarin; Fremennik; Misthalin; Morytania; Desert; Kandarin,0,,All,1,
3,Tin ore,,Ore/Rock,17.5,1,https://oldschool.runescape.wiki/images/e/e0/Tin_ore.png?f5f95,,1 Tin,Asgarnia; Kandarin; Fremennik; Misthalin; Morytania; Desert; Kandarin,0,,All,1,
4,Limestone,,Ore/Rock,26.5,10,https://oldschool.runescape.wiki/images/4/4e/Limestone.png?8ac1a,,1 Limestone,Misthalin; Tirannwn,0,,All,1,
5,Blurite,,Ore/Rock,17.5,10,https://oldschool.runescape.wiki/images/7/78/Blurite_ore.png?07f89,,1 Blurite,Asgarnia,0,,All,1,
6,Iron ore,,Ore/Rock,35,15,https://oldschool.runescape.wiki/images/e/e7/Iron_ore.png?d2e61,,1 Iron,All,0,,All,1,
7,Silver ore,,Ore/Rock,40,20,https://oldschool.runescape.wiki/images/3/34/Silver_ore.png?20dd9,,1 Silver,Asgarnia; Kandarin; Fremennik; Misthalin; Desert; Karamja; Tirannwn,0,,All,1,
8,Volcanic ash,,Other,10,22,https://oldschool.runescape.wiki/images/4/48/Volcanic_ash.png?845a8,,1 Volcanic ash,Misthalin,0,,All,1,
9,Pure essence,,Essence,5,30,https://oldschool.runescape.wiki/images/a/a8/Pure_essence.png?a3f74,,1 Pure essence,All,0,,All,1,
10,Coal,,Ore/Rock,50,30,https://oldschool.runescape.wiki/images/a/a7/Coal.png?0b396,,1 Coal,All,0,,All,1,
11,Sandstone,,Ore/Rock,45,35,https://oldschool.runescape.wiki/images/c/ce/Sandstone_%2810kg%29.png?013b2,,1 Sandstone,Desert,0,,All,1,
13,Gem rocks,,Ore/Rock,65,40,https://oldschool.runescape.wiki/images/b/b2/Uncut_red_topaz.png?1892c,,1 Gem rocks,Karamja,0,,All,1,
14,Gold ore,,Ore/Rock,65,40,https://oldschool.runescape.wiki/images/9/91/Gold_ore.png?5d60c,,1 Gold,Asgarnia; Kandarin; Fremennik; Misthalin; Desert; Karamja; Tirannwn; Kandarin; Wilderness,0,,All,1,
16,Granite,,Ore/Rock,61.7,45,https://oldschool.runescape.wiki/images/4/48/Granite_%285kg%29.png?af97d,,1 Granite,Desert,0,,All,1,
17,Mithril ore,,Ore/Rock,80,55,https://oldschool.runescape.wiki/images/9/9a/Mithril_ore.png?42cd6,,1 Mithril,All,0,,All,1,
18,Daeyalt shard,,Essence,5,60,https://oldschool.runescape.wiki/images/3/3a/Daeyalt_shard.png?5c526,,1 Daeyalt shard,Morytania,0,,All,1,
20,Soft clay,,Ore/Rock,5,70,https://oldschool.runescape.wiki/images/e/e7/Soft_clay.png?727c2,,1 Soft clay,Tirannwn,0,,All,1,
21,Adamantite ore,,Ore/Rock,95,70,https://oldschool.runescape.wiki/images/a/a1/Adamantite_ore.png?54faf,,1 Adamantite,Asgarnia; Fremennik; Karamja; Misthalin; Morytania; Tirannwn; Kandarin; Wilderness,0,,All,1,
22,Salts (any kind),,Other,5,72,https://oldschool.runescape.wiki/images/b/b5/Efh_salt.png?3a5ea,,1 Salt,Asgarnia,0,,All,1,
23,Runite ore,,Ore/Rock,125,85,https://oldschool.runescape.wiki/images/a/a0/Runite_ore.png?ae8da,,1 Runite,Fremennik; Misthalin; Wilderness; Asgarnia; Tirannwn; Kandarin; Karamja,0,,All,1,
24,Amethyst,,Ore/Rock,240,92,https://oldschool.runescape.wiki/images/2/2e/Amethyst.png?b6f41,,1 Amethyst,Asgarnia,0,,All,1,
