SKILL,,,,,,,,
name,icon,type,isCombatSkill,,,,,
Runecrafting,https://oldschool.runescape.wiki/images/6/63/Runecraft_icon.png?c278c,processing,FALSE,,,,,
,,,,,,,,
CATEGORIES,,,,,,,,
Runes,Combination runes,Dark altar runes,Tiaras,,,,,
,,,,,,,,
EXP MULTIPLIERS,,,,,,,,
id,name,multiplier,,,,,,
0,League base multiplier (500%),5,,,,,,
1,Daeyalt essence (150%),1.5,,,,,,
,,,,,,,,
OUTPUT MULTIPLIERS,,,,,,,,
id,name,multiplier,,,,,,
,,,,,,,,
,,,,,,,,
ACTIONS,,,,,,,,
id,name,category,exp,level,icon,inputs,outputs,areas
0,Air rune,Runes,5,1,https://oldschool.runescape.wiki/images/b/bf/Air_rune.png?b3a44,1 Rune/Pure essence,1 Air rune,Asgarnia; Wilderness
27,Air tiara,Tiaras,25,1,https://oldschool.runescape.wiki/images/c/ca/Air_tiara.png?6bf5e,1 Tiara;1 Air talisman,1 Air tiara,Asgarnia
35,Mind tiara,Tiaras,27.5,1,https://oldschool.runescape.wiki/images/9/98/Mind_tiara.png?c3670,1 Tiara;1 Mind talisman,1 Mind tiara,Asgarnia
37,Water tiara,Tiaras,30,1,https://oldschool.runescape.wiki/images/f/f2/Water_tiara.png?a4084,1 Tiara;1 Water talisman,1 Water tiara,Misthalin
32,Earth tiara,Tiaras,32.5,1,https://oldschool.runescape.wiki/images/9/93/Earth_tiara.png?370a7,1 Tiara;1 Earth talisman,1 Earth tiara,Misthalin
33,Fire tiara,Tiaras,35,1,https://oldschool.runescape.wiki/images/7/7c/Fire_tiara.png?88724,1 Tiara;1 Fire talisman,1 Fire tiara,Desert
28,Body tiara,Tiaras,37.5,1,https://oldschool.runescape.wiki/images/8/86/Body_tiara.png?6bf5e,1 Tiara;1 Body talisman,1 Body tiara,Misthalin
30,Cosmic tiara,Tiaras,40,1,https://oldschool.runescape.wiki/images/d/da/Cosmic_tiara.png?7f120,1 Tiara;1 Cosmic talisman,1 Cosmic tiara,Misthalin
29,Chaos tiara,Tiaras,42.5,1,https://oldschool.runescape.wiki/images/9/93/Chaos_tiara.png?cf497,1 Tiara;1 Chaos talisman,1 Chaos tiara,Wilderness
