SKILL,icon,type,isCombatSkill,,,,,,,,,,,
Smithing,https://oldschool.runescape.wiki/images/d/dd/Smithing_icon.png?d26c5,processing,FALSE,,,,,,,,,,,
,,,,,,,,,,,,,,
CATEGORIES,,,,,,,,,,,,,,
Bronze,Iron,Steel,Mithril,Adamant,Rune,Other,,,,,,,,
,,,,,,,,,,,,,,
EXP MULTIPLIERS,name,multiplier,,,,,,,,,,,,
0,Goldsmith gauntlets (250% on smelting gold),2.5,,,,,,,,,,,,
,,,,,,,,,,,,,,
INPUT MULTIPLIERS,name,multiplier,,,,,,,,,,,,
0,Ring of forging (100% chance to smelt iron),0.5,,,,,,,,,,,,
,,,,,,,,,,,,,,
OUTPUT MULTIPLIERS,name,multiplier,,,,,,,,,,,,
,,,,,,,,,,,,,,
ACTIONS,name,subtitle,category,exp,level,icon,inputs,outputs,areas,exp multipliers,input multipliers,output multipliers,exp actions,tooltip
0,Bronze bar ,Smelting,Bronze,6.2,1,https://oldschool.runescape.wiki/images/c/cd/Bronze_bar.png?4f105,1 Copper ore;1 Tin ore,1 Bronze bar,All,,,,1,
69,Bronze bar ,Smelting; Blast furnace,Bronze,6.2,1,https://oldschool.runescape.wiki/images/c/cd/Bronze_bar.png?4f105,1 Copper ore;1 Tin ore,1 Bronze bar,Fremennik,,,,0.035714285714286,Assumes 28 bars smelted at a time
1,Bronze item,Smith 1 bar at a time,Bronze,12.5,1,https://oldschool.runescape.wiki/images/0/0c/Bronze_arrowtips.png?42d40,1 Bronze bar,1 Bronze item,All,,,,1,
8,Bronze item ,From scratch; Smith 1 bar at a time,Bronze,18.7,1,https://oldschool.runescape.wiki/images/0/0c/Bronze_arrowtips.png?42d40,1 Copper ore;1 Tin ore,1 Bronze item,All,,,,2,
2,Bronze item ,Smith 2 bars at a time,Bronze,25,5,https://oldschool.runescape.wiki/images/f/f7/Bronze_scimitar.png?49cfc,2 Bronze bar,1 Bronze item,All,,,,1,
9,Bronze item ,From scratch; Smith 2 bars at a time,Bronze,37.4,5,https://oldschool.runescape.wiki/images/f/f7/Bronze_scimitar.png?49cfc,2 Copper ore;2 Tin ore,1 Bronze item,All,,,,3,
3,Blurite bar ,Smelting,Other,8,8,https://oldschool.runescape.wiki/images/f/f8/Blurite_bar.png?ae056,1 Blurite ore,1 Blurite bar,Asgarnia,,,,1,
4,Blurite item,Smithing,Other,17.5,8,https://oldschool.runescape.wiki/images/3/3a/Blurite_bolts_%28unf%29_5.png?f1d3a,1 Blurite bar,1 Blurite item,Asgarnia,,,,1,
5,Blurite item,From scratch,Other,25.5,8,https://oldschool.runescape.wiki/images/3/3a/Blurite_bolts_%28unf%29_5.png?f1d3a,1 Blurite ore,1 Blurite item,Asgarnia,,,,2,
6,Bronze item,Smith 3 bars at a time,Bronze,37.5,9,https://oldschool.runescape.wiki/images/2/24/Bronze_platelegs.png?bb859,3 Bronze bar,1 Bronze item,All,,,,1,
10,Bronze item,From scratch; Smith 3 bars at a time,Bronze,56.1,9,https://oldschool.runescape.wiki/images/2/24/Bronze_platelegs.png?bb859,3 Copper ore;3 Tin ore,1 Bronze item,All,,,,4,
12,Iron bar ,Smelting,Iron,12.5,15,https://oldschool.runescape.wiki/images/1/14/Iron_bar.png?5d806,2 Iron ore,1 Iron bar,All,,0,,1,
70,Iron bar ,Smelting; Blast furnace,Iron,12.5,15,https://oldschool.runescape.wiki/images/1/14/Iron_bar.png?5d806,1 Iron ore,1 Iron bar,Fremennik,,,,0.035714285714286,Assumes 28 bars smelted at a time
13,Iron item ,Smith 1 bar at a time,Iron,25,15,https://oldschool.runescape.wiki/images/8/81/Iron_arrowtips.png?50992,1 Iron bar,1 Iron item,All,,,,1,
18,Iron item ,From scratch; Smith 1 bar at a time,Iron,37.5,15,https://oldschool.runescape.wiki/images/8/81/Iron_arrowtips.png?50992,2 Iron ore,1 Iron item,All,,0,,2,
7,Bronze item ,Smith 5 bars at a time,Bronze,62.5,18,https://oldschool.runescape.wiki/images/c/cd/Bronze_platebody.png?740cc,5 Bronze bar,1 Bronze item,All,,,,1,
11,Bronze item ,From scratch; Smith 5 bars at a time,Bronze,93.5,18,https://oldschool.runescape.wiki/images/c/cd/Bronze_platebody.png?740cc,5 Copper ore;5 Tin ore,1 Bronze item,All,,,,6,
14,Silver bar,,Other,13.6,20,https://oldschool.runescape.wiki/images/b/b2/Silver_bar.png?5648a,1 Silver ore,1 Silver bar,All,,,,1,
