SKILL,icon,type,isCombatSkill,,,,,,,,,,,
Thieving,https://oldschool.runescape.wiki/images/4/4a/Thieving_icon.png?56b20,gathering,FALSE,,,,,,,,,,,
,,,,,,,,,,,,,,
CATEGORIES,,,,,,,,,,,,,,
Pickpocketing,Stalls,Minigames,Chests,Other,,,,,,,,,,
,,,,,,,,,,,,,,
EXP MULTIPLIERS,name,multiplier,,,,,,,,,,,,
,,,,,,,,,,,,,,
INPUT MULTIPLIERS,name,multiplier,,,,,,,,,,,,
,,,,,,,,,,,,,,
OUTPUT MULTIPLIERS,name,multiplier,,,,,,,,,,,,
0,Rogue outfit,2,,,,,,,,,,,,
,,,,,,,,,,,,,,
ACTIONS,name,subtitle,category,exp,level,icon,inputs,outputs,areas,exp multipliers,input multipliers,output multipliers,exp actions,tooltip
0,Man/Woman,,Pickpocketing,8,1,https://oldschool.runescape.wiki/images/0/0c/Thief_Man.png?5d8bc,,3 Coins,All,,,0,1,
1,Sorceress's garden - Winter sq'irk,,Minigames,350,1,https://oldschool.runescape.wiki/images/c/cd/Winter_sq%27irk.png?05dae,5 Winter sq'irk,1 Winter sq'irkjuice,Desert,,,,1,
2,Vegetable stall,,Stalls,10,2,https://oldschool.runescape.wiki/images/c/cc/Cabbage.png?1ee52,,1 Vegetable,Fremennik,,,,1,
3,Bakery stall,,Stalls,16,5,https://oldschool.runescape.wiki/images/e/e1/Bread.png?8eb7b,,1 Baked good,Misthalin; Kandarin,,,,1,
4,Crafting stall,,Stalls,16,5,https://oldschool.runescape.wiki/images/2/2b/Chisel.png?c974b,,1 Chisel or mould,Fremennik; Kandarin; Desert,,,,1,
5,Monkey food stall,,Stalls,16,5,https://oldschool.runescape.wiki/images/6/69/Banana.png?c60e6,,1 Banana,Kandarin,,,,1,
6,Monkey general stall,,Stalls,16,5,https://oldschool.runescape.wiki/images/5/54/Pot.png?ff316,,1 Hammer/pot/tinderbox,Kandarin,,,,1,
