SKILL,icon,type,isCombatSkill,,,,,,,,
Woodcutting,https://oldschool.runescape.wiki/images/thumb/f/f4/Woodcutting_icon.png/17px-Woodcutting_icon.png,gathering,FALSE,,,,,,,,
,,,,,,,,,,,
CATEGORIES,,,,,,,,,,,
Trees,Tai Bwo Wannai,,,,,,,,,,
,,,,,,,,,,,
EXP MULTIPLIERS,name,multiplier,,,,,,,,,
0,Lumberjack Outfit (102.5%) ,1.025,,,,,,,,,
1,Kandarin headgear 2+ (110% for Seer's maples),1.1,,,,,,,,,
,,,,,,,,,,,
INPUT MULTIPLIERS,name,multiplier,,,,,,,,,
,,,,,,,,,,,
OUTPUT MULTIPLIERS,name,multiplier,,,,,,,,,
0,Kandarin headgear [any tier] (x2 regular logs),2,,,,,,,,,
,,,,,,,,,,,
ACTIONS,name,category,exp,level,icon,inputs,outputs,areas,exp multipliers,input multipliers,output multipliers
0,Tree,Trees,25,1,https://oldschool.runescape.wiki/images/2/2d/Logs.png ,,1 Logs,All,0,,0
1,Light Jungle,Tai Bwo Wannai,32,10,https://oldschool.runescape.wiki/images/d/da/Thatch_spar_light.png ,,1 Thatch spar light,Karamja,0,,
2,Oak tree,Trees,37.5,15,https://oldschool.runescape.wiki/images/c/cb/Oak_logs.png ,,1 Oak logs,All,0,,
3,Medium Jungle,Tai Bwo Wannai,55,20,https://oldschool.runescape.wiki/images/f/f9/Thatch_spar_med.png ,,1 Thatch spar med,Karamja,0,,
4,Willow tree,Trees,67.5,30,https://oldschool.runescape.wiki/images/1/18/Willow_logs.png ,,1 Willow logs,All,0,,
5,Teak tree,Trees,85,35,https://oldschool.runescape.wiki/images/7/76/Teak_logs.png ,,1 Teak logs,All,0,,
6,Dense Jungle,Tai Bwo Wannai,80,35,https://oldschool.runescape.wiki/images/3/3c/Thatch_spar_dense.png ,,1 Thatch spar dense,Karamja,0,,
8,Maple tree,Trees,100,45,https://oldschool.runescape.wiki/images/3/32/Maple_logs.png ,,1 Maple logs,Asgarnia; Fremennik; Kandarin; Misthalin; Tirannwn; Kandarin,0,,
17,Maple tree (Seer's village),Trees,100,45,https://oldschool.runescape.wiki/images/3/32/Maple_logs.png ,,1 Maple logs,Kandarin,0;1,,
9,Hollow tree,Trees,82.5,45,https://oldschool.runescape.wiki/images/d/dc/Bark.png ,,1 Bark,Morytania,0,,
10,Mahogany tree,Trees,125,50,https://oldschool.runescape.wiki/images/1/1c/Mahogany_logs.png ,,1 Mahogany logs,Karamja; Fremennik; Morytania; Misthalin; Tirannwn; Kandarin,0,,
11,Arctic pine tree,Trees,40,54,https://oldschool.runescape.wiki/images/1/1d/Arctic_pine_logs.png ,,1 Arctic pine logs,Fremennik,0,,
12,Yew tree,Trees,175,60,https://oldschool.runescape.wiki/images/a/ae/Yew_logs.png ,,1 Yew logs,All,0,,
13,Blisterwood tree,Trees,76,62,https://oldschool.runescape.wiki/images/3/3f/Blisterwood_logs.png ,,1 Blisterwood logs,Morytania,0,,
14,Sulliuscep,Trees,127,65,https://oldschool.runescape.wiki/images/8/8c/Mushroom.png ,,1 Mushroom - 63.9;1 Mort myre fungus - 6.4;1 Sulliuscep cap - 0.7;1 Unidentified fossil - 3;1 Numulite - 26,Misthalin,0,,
15,Magic tree,Trees,250,75,https://oldschool.runescape.wiki/images/2/20/Magic_logs.png ,,1 Magic logs,All,0,,
